,course_organization,course_Certificate_type,course_rating,course_students_enrolled_modified,course_difficulty_modified
338,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,15.0,1.0
339,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,14.0,1.0
340,École Polytechnique Fédérale de Lausanne,COURSE,4.8,17.0,1.0
341,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,22.0,1.0
342,Johns Hopkins University,COURSE,4.6,3.0,0.0
343,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,3.0,0.0
344,Rice University,SPECIALIZATION,4.8,20.0,0.0
345,Georgia Institute of Technology,COURSE,4.7,4.0,0.5
346,"University of California, Davis",COURSE,4.8,8.0,0.0
347,California Institute of the Arts,COURSE,4.8,29.0,0.0
348,Rice University,SPECIALIZATION,4.7,2.0,1.0
349,Rice University,COURSE,4.7,1.0,1.0
350,The University of Edinburgh,COURSE,4.6,18.0,0.0
351,University of Virginia,COURSE,4.7,12.0,0.0
352,University of Pennsylvania,COURSE,4.6,11.0,0.5
353,University of Alberta,COURSE,4.8,2.0,1.0
354,"University of California, Davis",COURSE,4.5,8.0,0.0
355,University of Pennsylvania,SPECIALIZATION,4.6,2.0,0.0
356,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,5.0,0.0
357,Universidad Austral,COURSE,4.7,15.0,0.0
358,Universidad de los Andes,COURSE,4.8,11.0,0.0
359,Tecnológico de Monterrey,COURSE,4.6,4.0,0.0
360,"University of California, Davis",SPECIALIZATION,4.6,4.0,0.0
361,Institute for the Future,SPECIALIZATION,4.8,9.0,0.0
362,Google Cloud,SPECIALIZATION,4.7,1.0,0.0
363,University of Toronto,SPECIALIZATION,4.8,14.0,0.0
364,Michigan State University,SPECIALIZATION,4.7,10.0,1.0
365,Stanford University,COURSE,4.6,26.0,0.0
366,University of Pennsylvania,COURSE,4.8,11.0,0.5
367,University of Pittsburgh,COURSE,4.7,1.0,0.0
368,Johns Hopkins University,SPECIALIZATION,4.4,8.0,1.0
369,"University of California, Davis",SPECIALIZATION,4.8,9.0,0.0
370,Sciences Po,COURSE,4.3,1.0,0.5
371,ESADE Business and Law School,COURSE,4.8,3.0,0.5
372,Pontificia Universidad Católica de Chile,COURSE,4.7,4.0,0.5
373,Bloomsbury Learning Exchange,COURSE,4.7,1.0,0.0
374,Michigan State University,COURSE,4.5,5.0,0.0
375,Amazon Web Services,COURSE,4.5,7.0,1.0
376,"University of California, Irvine",COURSE,4.6,5.0,1.0
377,Google Cloud,COURSE,4.5,7.0,1.0
378,Google Cloud,COURSE,4.6,1.0,0.0
379,SAS,COURSE,4.9,2.0,0.0
380,SOAS University of London,COURSE,4.6,7.0,0.5
381,SOAS University of London,COURSE,4.7,2.0,0.0
382,SOAS University of London,COURSE,4.5,1.0,0.0
383,Technical University of Denmark (DTU),COURSE,4.6,2.0,1.0
384,Rice University,COURSE,4.6,3.0,0.5
385,EDHEC Business School,COURSE,4.6,3.0,1.0
386,University of Pennsylvania,COURSE,4.8,7.0,0.5
